matrix_size,python,numpy
10x10,0.00010307518428571428,1.3558888714285718e-06
20x20,0.0006017473000000005,2.1650387142856937e-06
30x30,0.0018311481428571596,3.697141285714279e-06
40x40,0.004174518857142857,6.28179828571428e-06
50x50,0.007750099571428574,8.13013285714286e-06
60x60,0.01305255971428566,1.0096967999999984e-05
70x70,0.02041226714285683,1.2708555000000003e-05
80x80,0.03128528142857152,1.6356341999999983e-05
90x90,0.043318899999999876,1.8749428571428593e-05
100x100,0.05914517714285726,2.523589428571447e-05
110x110,0.07575243714285733,3.3713365714285516e-05
120x120,0.09911035999999984,3.582913714285699e-05
130x130,0.12805477285714303,3.797043000000023e-05
140x140,0.15548045714285763,4.7146747142856574e-05
150x150,0.19308238571428302,5.798481285714274e-05
160x160,0.24052144285714608,6.990675142857136e-05
170x170,0.28193901428571977,7.870758428571491e-05
180x180,0.3276808571428579,8.511672571428577e-05
190x190,0.38219614285714393,9.506604285714267e-05
200x200,0.47076870000000376,0.00011430830142857117
210x210,0.5799598571428533,0.0001270992071428578
220x220,0.5948350999999954,0.0001542406999999997
230x230,0.686000285714284,0.00015343522428571492
240x240,0.7679732571428336,0.00017306755285714367
250x250,0.8661334285714182,0.00018149865428571354
260x260,0.9634834999999953,0.0001991497142857059
270x270,1.0807239428571458,0.0002481620428571643
280x280,1.2260659428571412,0.0002642701571428623
290x290,1.360566200000002,0.00027443627142858824
300x300,1.6139958714285771,0.0002750763000000071
310x310,1.6523017714285646,0.00032783905714285313
320x320,2.0266506000000146,0.00041254800000002336
330x330,2.0552958285714373,0.00036196830000000905
340x340,2.213034114285701,0.0004513556000000156
350x350,2.34157395714286,0.0004165876571428677
360x360,2.6323553571428584,0.00045994712857143274
370x370,2.786806614285711,0.0010238765857142685
380x380,3.0064301571428587,0.0012849199714285403
390x390,3.489404100000034,0.0012078170285714448
400x400,3.7371302714285872,0.0012802719285714376
